season,team,GP,PTS,W,L,OTL,Conference,Division,playoffs,final_G,final_GA,situation,toi,gf,ga,g_dif,gf%,xgf,xga,xg%,pdo,shooting%,sv%,shooting%_ag,sv%_ag,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,xg_dif,fwf_dif,hdsc_dif,offense,defense,differential,gf_p60,ga_p60,g_dif_p60,xgf_p60,xga_p60,hdsc_p60,hdsca_p60,sc_p60,sca_p60,fwf_p60,fwa_p60,cf_p60,ca_p60,shots_p60,shots_ag_p60,mdsc_p60,adsc_p60,ldsc_p60,mdsca_p60,adsca_p60,ldsca_p60,point_shot_p60,point_shot_ag_p60,miss_p60,miss_ag_p60,blocks_p60,blocks_ag_p60,penalties_p60,penalties_ag_p60,hits_p60,takeaways_p60,giveaways_p60,dz_giveaways_p60,hits_ag_p60,takeaways_ag_p60,giveaways_ag_p60,dz_giveaways_ag_p60,xg_dif_p60,fwf_dif_p60,hdsc_dif_p60,oz_takeaways_p60,oz_takeaways_ag_p60,offense_p60,defense_p60,differential_p60,PTS_perc,W_perc,gf_p60_perc,g_dif_p60_perc,gf%_perc,xg%_perc,xgf_p60_perc,xg_dif_p60_perc,ga_p60_perc,xga_p60_perc,hdsc%_perc,hdsc_dif_p60_perc,sc%_perc,asd_perc,asda_perc,pdo_perc,shooting%_perc,sv%_perc,sv%_ag_perc,shooting%_ag_perc,hdsc_p60_perc,sc_p60_perc,hdsca_p60_perc,sca_p60_perc,fenwick%_perc,fwf_p60_perc,fwa_p60_perc,fwf_dif_p60_perc,corsi%_perc,cf_p60_perc,ca_p60_perc,mdsc_p60_perc,adsc_p60_perc,ldsc_p60_perc,adsca_p60_perc,mdsca_p60_perc,ldsca_p60_perc,blocks_p60_perc,blocks_ag_p60_perc,block%_perc,block%_ag_perc,hits_p60_perc,hits_ag_p60_perc,point_shot_p60_perc,point_shot_ag_p60_perc,pshot_perc_perc,pshot_perc_ag_perc,takeaways_p60_perc,takeaways_ag_p60_perc,giveaways_p60_perc,giveaways_ag_p60_perc,dz_giveaways_p60_perc,dz_giveaways_ag_p60_perc,penalties_p60_perc,penalties_ag_p60_perc,faceoff_w_perc,faceoff_l_perc,penalty_mins_perc,penalty_mins_ag_perc,miss_ag_p60_perc,miss_p60_perc,miss_perc_perc,miss_perc_ag_perc,oz_takeaways_ag_p60_perc,oz_takeaways_p60_perc,shots_ag_p60_perc,shots_p60_perc,offense_p60_perc,defense_p60_perc,differential_p60_perc
20232024,ANA,25.0,20.0,10.0,15.0,0.0,west,pacific,none,69.0,87.0,4on5,167.04999999999998,2.0,20.0,-18.0,0.091,1.49,19.61,0.071,0.979,0.091,0.888,0.112,0.909,4.0,50.0,0.074,8.0,150.0,0.051,2.571,2.733,25.0,254.0,0.09,31.0,345.0,0.082,22.0,178.0,4.0,2.0,4.0,100.0,85.0,16.0,4.0,47.0,0.16,0.185,6.0,91.0,3.0,76.0,0.097,0.22,0.194,0.264,1.0,4.0,9.0,48.0,76.0,111.0,20.0,12.0,8.0,7.0,12.0,14.0,32.0,5.0,2.0,8.0,-18.12,-229.0,-46.0,3.4940000000000007,39.61299999999999,-36.11899999999999,0.718,7.183,-6.465,0.535,7.043,1.437,17.959,2.873,53.876,8.979,91.23,11.134,123.915,7.902,63.933,1.437,0.718,1.437,35.917,30.53,5.747,1.437,16.881,1.078,27.297,2.155,32.685,0.359,3.233,7.183,4.31,2.873,2.514,4.31,5.028,11.494,1.796,-6.508,-82.251,-16.522,0.718,2.873,1.255,14.228,-12.973,0.11,0.27,0.5,0.62,0.52,0.28,0.19,0.66,0.59,0.69,0.31,0.41,0.16,0.19,0.47,0.56,0.44,0.72,0.44,0.72,0.28,0.19,0.53,0.19,0.34,0.47,0.28,0.25,0.082,0.41,0.22,0.22,0.22,0.78,0.34,0.09,0.47,0.53,0.78,0.38,0.44,0.72,0.59,0.44,0.44,0.33,0.17,0.25,0.38,0.62,0.88,0.69,0.59,0.84,0.59,1.0,0.09,0.34,0.19,0.69,0.91,0.84,0.59,0.19,0.69,0.31,0.62,0.28,0.66,0.59
20232024,ANA,25.0,20.0,10.0,15.0,0.0,west,pacific,none,69.0,87.0,5on4,126.64999999999999,16.0,0.0,16.0,1.0,13.89,1.94,0.877,1.143,0.143,1.0,0.0,0.857,39.0,7.0,0.848,95.0,10.0,0.905,2.718,3.417,166.0,15.0,0.917,232.0,22.0,0.913,112.0,9.0,56.0,51.0,17.0,3.0,2.0,0.0,32.0,1.0,0.19,0.067,66.0,7.0,54.0,6.0,0.233,0.273,0.284,0.318,11.0,48.0,1.0,4.0,78.0,40.0,8.0,6.0,21.0,6.0,16.0,14.0,4.0,4.0,2.0,0.0,11.950000000000001,151.0,32.0,29.889000000000003,1.94,27.948999999999998,7.58,0.0,7.58,6.58,0.919,18.476,3.316,45.006,4.737,78.642,7.106,109.909,10.422,53.06,4.264,26.53,24.161,8.054,1.421,0.947,0.0,15.16,0.474,25.582,2.842,31.267,3.316,5.211,0.474,3.79,2.842,9.949,2.842,7.58,6.632,1.895,1.895,5.661,71.536,15.16,0.947,0.0,14.16,0.919,13.241,0.11,0.27,0.53,0.66,0.92,0.23,0.25,0.25,0.92,0.34,0.28,0.44,0.39,0.44,0.03,0.84,0.62,0.92,0.62,0.92,0.56,0.5,0.19,0.44,0.86,0.41,0.94,0.56,0.913,0.44,0.81,0.41,0.25,0.81,0.84,0.84,0.91,0.38,0.81,0.34,0.97,0.22,0.31,0.69,0.09,0.75,0.25,0.25,0.41,0.41,0.19,0.31,0.22,0.09,0.41,0.2,0.72,0.91,0.67,0.75,0.44,0.22,0.97,0.89,0.22,1.0,0.34,0.41,0.81,0.44
20232024,ANA,25.0,20.0,10.0,15.0,0.0,west,pacific,none,69.0,87.0,5on5,1141.4166666666665,42.0,60.0,-18.0,0.412,50.18,54.1,0.481,0.971,0.076,0.895,0.105,0.924,128.0,161.0,0.443,327.0,367.0,0.471,2.425,2.465,781.0,820.0,0.488,1068.0,1128.0,0.486,555.0,570.0,199.0,261.0,144.0,206.0,258.0,162.0,210.0,251.0,0.27,0.306,287.0,308.0,226.0,250.0,0.212,0.222,0.269,0.273,51.0,209.0,40.0,153.0,487.0,531.0,454.0,138.0,139.0,66.0,326.0,118.0,138.0,72.0,50.0,48.0,-3.9200000000000017,-39.0,-33.0,92.17599999999999,114.099,-21.923000000000002,2.208,3.154,-0.946,2.638,2.844,6.728,8.463,17.189,19.292,41.054,43.104,56.141,59.295,29.174,29.963,10.461,13.72,7.57,10.829,13.562,8.516,11.039,13.194,11.88,13.142,15.087,16.19,2.681,2.103,23.865,7.254,7.307,3.469,17.137,6.203,7.254,3.785,-0.206,-2.05,-1.735,2.628,2.523,4.845,5.998,-1.152,0.11,0.27,0.19,0.06,0.06,0.34,0.44,0.31,0.16,0.28,0.09,0.09,0.19,0.41,0.25,0.16,0.14,0.19,0.14,0.19,0.28,0.25,0.09,0.19,0.34,0.28,0.34,0.34,0.486,0.31,0.5,0.38,0.28,0.41,0.78,0.44,0.25,0.81,0.38,0.91,0.22,0.91,0.78,0.81,0.84,0.72,0.86,0.66,0.72,0.78,0.28,0.75,0.25,0.03,0.69,0.17,0.61,1.0,0.42,0.59,0.69,0.72,0.66,0.44,0.56,0.38,0.56,0.16,0.19,0.09
20232024,ANA,25.0,20.0,10.0,15.0,0.0,west,pacific,none,69.0,87.0,all,1512.9166666666667,68.0,87.0,-19.0,0.439,74.35,85.1,0.466,0.983,0.092,0.891,0.109,0.908,188.0,237.0,0.442,468.0,566.0,0.453,2.499,2.561,1045.0,1154.0,0.475,1422.0,1577.0,0.474,742.0,797.0,280.0,342.0,168.0,329.0,365.0,180.0,258.0,312.0,0.25,0.27,377.0,423.0,303.0,357.0,0.213,0.226,0.265,0.268,70.0,310.0,53.0,251.0,678.0,734.0,492.0,160.0,177.0,82.0,362.0,155.0,186.0,85.0,54.0,60.0,-10.75,-109.0,-49.0,142.349,172.104,-29.755000000000006,2.697,3.45,-0.754,2.949,3.375,7.456,9.399,18.56,22.447,41.443,45.766,56.394,62.541,29.427,31.608,11.104,13.563,6.663,13.048,14.475,7.139,10.232,12.373,12.017,14.158,14.951,16.776,2.776,2.102,19.512,6.345,7.02,3.252,14.356,6.147,7.376,3.371,-0.426,-4.323,-1.943,2.142,2.38,5.645,6.825,-1.18,0.11,0.27,0.16,0.09,0.16,0.22,0.31,0.22,0.16,0.22,0.14,0.12,0.09,0.34,0.16,0.23,0.28,0.31,0.28,0.31,0.25,0.19,0.12,0.19,0.3,0.25,0.28,0.28,0.474,0.22,0.34,0.25,0.22,0.41,0.72,0.19,0.38,0.84,0.56,0.83,0.31,0.91,0.81,0.88,0.72,0.77,0.66,0.41,0.69,0.78,0.38,0.78,0.25,0.06,0.66,0.38,0.31,1.0,0.28,0.78,0.78,0.67,0.78,0.41,0.31,0.28,0.28,0.19,0.16,0.12
20232024,ANA,25.0,20.0,10.0,15.0,0.0,west,pacific,none,69.0,87.0,other,77.80000000000001,8.0,7.0,1.0,0.533,8.8,9.45,0.482,0.976,0.151,0.825,0.175,0.849,17.0,19.0,0.472,38.0,39.0,0.494,2.754,2.918,73.0,65.0,0.529,91.0,82.0,0.526,53.0,40.0,21.0,28.0,3.0,20.0,20.0,2.0,12.0,13.0,0.16,0.2,18.0,17.0,20.0,25.0,0.22,0.305,0.198,0.207,7.0,49.0,3.0,46.0,37.0,52.0,10.0,4.0,9.0,3.0,8.0,9.0,12.0,4.0,0.0,4.0,-0.6499999999999986,8.0,-2.0,16.794999999999998,16.448999999999998,0.3459999999999994,6.17,5.398,0.771,6.787,7.288,13.111,14.653,29.306,30.077,56.298,50.129,70.18,63.239,40.874,30.848,16.195,21.594,2.314,15.424,15.424,1.542,9.254,10.026,15.424,19.28,13.882,13.111,5.398,2.314,7.712,3.085,6.941,2.314,6.17,6.941,9.254,3.085,-0.501,6.17,-1.542,0.0,3.085,12.952,12.686,0.267,0.11,0.27,0.28,0.59,0.59,0.41,0.44,0.41,0.72,0.53,0.38,0.41,0.39,0.34,0.38,0.36,0.38,0.34,0.38,0.34,0.25,0.25,0.66,0.66,0.64,0.34,0.72,0.66,0.526,0.22,0.69,0.41,0.66,0.25,0.66,0.62,0.81,0.81,0.22,0.64,0.34,0.75,0.53,0.69,0.5,0.64,0.72,0.09,0.44,0.38,0.75,0.66,0.66,0.41,0.28,0.55,0.11,0.81,0.22,0.56,0.84,0.62,0.94,0.19,0.12,0.81,0.41,0.34,0.69,0.53
20232024,ARI,24.0,28.0,13.0,9.0,2.0,west,central,none,83.0,68.0,4on5,129.93333333333334,1.0,17.0,-16.0,0.056,1.32,12.89,0.093,0.962,0.091,0.871,0.129,0.909,7.0,29.0,0.194,8.0,104.0,0.071,3.556,2.71,16.0,174.0,0.084,24.0,230.0,0.094,11.0,132.0,1.0,0.0,1.0,75.0,52.0,13.0,1.0,33.0,0.06,0.19,8.0,56.0,5.0,42.0,0.208,0.183,0.333,0.243,2.0,36.0,4.0,21.0,47.0,92.0,19.0,7.0,5.0,5.0,7.0,2.0,17.0,1.0,0.0,0.0,-11.57,-158.0,-22.0,2.3169999999999997,29.892,-27.575,0.462,7.85,-7.388,0.61,5.952,3.232,13.391,3.694,48.025,7.388,80.349,11.083,106.208,5.08,60.954,0.462,0.0,0.462,34.633,24.012,6.003,0.462,15.239,2.309,19.395,3.694,25.859,0.924,1.847,8.774,3.232,2.309,2.309,3.232,0.924,7.85,0.462,-5.343,-72.96,-10.159,0.0,0.0,1.07,13.803,-12.733,0.59,0.61,0.25,0.44,0.36,0.55,0.31,0.94,0.5,0.94,0.97,0.97,0.34,1.0,0.56,0.44,0.44,0.56,0.44,0.56,0.91,0.34,0.97,0.44,0.25,0.19,0.56,0.44,0.094,0.38,0.66,0.03,0.05,0.28,0.75,0.19,0.44,0.22,0.16,0.06,0.27,0.81,0.78,0.91,0.28,0.81,0.25,0.06,1.0,0.75,0.34,0.72,0.12,0.5,0.16,0.7,0.38,0.94,0.81,0.16,0.38,0.31,0.12,0.98,0.2,0.41,0.09,0.22,0.69,0.66
20232024,ARI,24.0,28.0,13.0,9.0,2.0,west,central,none,83.0,68.0,5on4,125.45,21.0,0.0,21.0,1.0,16.32,1.26,0.928,1.191,0.191,1.0,0.0,0.809,35.0,1.0,0.972,84.0,10.0,0.894,2.742,2.733,156.0,18.0,0.897,198.0,21.0,0.904,110.0,14.0,49.0,67.0,4.0,9.0,5.0,0.0,31.0,1.0,0.2,0.056,42.0,3.0,46.0,4.0,0.232,0.19,0.212,0.143,11.0,41.0,2.0,4.0,68.0,43.0,6.0,5.0,16.0,3.0,20.0,4.0,5.0,4.0,2.0,1.0,15.06,138.0,34.0,37.323,1.256,36.067,10.044,0.0,10.044,7.806,0.603,16.74,0.478,40.175,4.783,74.611,8.609,94.699,10.044,52.611,6.696,23.436,32.045,1.913,4.305,2.391,0.0,14.827,0.478,22.001,1.913,20.088,1.435,5.261,0.957,2.87,2.391,7.652,1.435,9.566,1.913,2.391,1.913,7.203,66.002,16.261,0.957,0.478,17.851,0.601,17.25,0.59,0.61,0.75,0.84,0.92,0.62,0.53,0.59,0.92,0.66,0.91,0.56,0.25,0.66,0.69,0.94,0.88,0.92,0.88,0.92,0.44,0.19,0.91,0.38,0.62,0.16,0.75,0.25,0.904,0.09,0.91,0.19,0.75,0.03,0.19,0.12,0.91,1.0,0.28,0.97,0.38,0.06,0.09,0.78,0.12,0.66,0.17,0.19,1.0,0.75,0.31,0.59,0.25,0.06,0.56,0.03,0.48,0.83,0.67,0.47,0.69,0.27,0.66,0.62,0.28,0.69,0.28,0.72,0.88,0.75
20232024,ARI,24.0,28.0,13.0,9.0,2.0,west,central,none,83.0,68.0,5on5,1138.9499999999998,52.0,42.0,10.0,0.553,45.07,49.12,0.479,1.032,0.109,0.923,0.077,0.891,125.0,136.0,0.479,328.0,345.0,0.487,2.524,2.406,693.0,813.0,0.46,965.0,1127.0,0.461,476.0,546.0,203.0,243.0,101.0,209.0,271.0,164.0,175.0,238.0,0.25,0.293,272.0,314.0,217.0,267.0,0.225,0.237,0.282,0.279,39.0,155.0,45.0,143.0,487.0,513.0,330.0,70.0,147.0,84.0,432.0,126.0,129.0,56.0,24.0,47.0,-4.049999999999997,-120.0,-11.0,97.074,91.118,5.955999999999998,2.739,2.213,0.527,2.374,2.588,6.585,7.164,17.279,18.175,36.507,42.829,50.836,59.37,25.076,28.763,10.694,12.801,5.321,11.01,14.276,8.64,9.219,12.538,11.432,14.066,14.329,16.542,2.055,2.371,17.384,3.688,7.744,4.425,22.758,6.638,6.796,2.95,-0.213,-6.322,-0.579,1.264,2.476,5.114,4.8,0.314,0.59,0.61,0.69,0.75,0.75,0.28,0.12,0.28,0.81,0.69,0.34,0.34,0.34,0.97,0.72,0.97,0.94,0.8,0.94,0.8,0.22,0.31,0.56,0.44,0.16,0.06,0.38,0.16,0.461,0.06,0.47,0.53,0.19,0.03,0.66,0.34,0.19,0.94,0.5,0.56,0.38,0.19,0.31,1.0,0.69,0.94,0.64,0.03,0.56,0.5,0.16,0.53,0.03,0.31,0.91,0.17,0.75,0.78,0.62,0.81,0.81,0.28,0.94,0.5,0.03,0.53,0.06,0.28,0.81,0.62
20232024,ARI,24.0,28.0,13.0,9.0,2.0,west,central,none,83.0,68.0,all,1458.8,80.0,68.0,12.0,0.541,71.84,75.01,0.489,1.034,0.122,0.912,0.088,0.878,188.0,193.0,0.493,467.0,523.0,0.472,2.588,2.498,951.0,1113.0,0.461,1295.0,1520.0,0.46,658.0,771.0,279.0,337.0,115.0,330.0,361.0,184.0,226.0,292.0,0.24,0.262,344.0,407.0,293.0,342.0,0.226,0.225,0.266,0.268,59.0,302.0,62.0,236.0,661.0,719.0,373.0,95.0,183.0,99.0,478.0,155.0,167.0,67.0,31.0,55.0,-3.1700000000000017,-162.0,-5.0,151.84199999999998,143.012,8.83,3.29,2.797,0.494,2.955,3.085,7.732,7.938,19.208,21.511,39.114,45.777,53.263,62.517,27.063,31.711,11.475,13.861,4.73,13.573,14.848,7.568,9.295,12.01,12.051,14.066,14.149,16.74,2.427,2.55,15.341,3.907,7.527,4.072,19.66,6.375,6.869,2.756,-0.13,-6.663,-0.206,1.275,2.262,6.245,5.882,0.363,0.59,0.61,0.67,0.72,0.72,0.34,0.34,0.34,0.72,0.53,0.41,0.41,0.23,0.94,0.62,0.97,0.94,0.86,0.94,0.86,0.31,0.22,0.56,0.25,0.14,0.09,0.22,0.19,0.46,0.09,0.38,0.38,0.25,0.03,0.47,0.16,0.25,1.0,0.53,0.78,0.31,0.22,0.22,0.94,0.66,0.89,0.47,0.03,0.56,0.53,0.19,0.53,0.06,0.19,0.91,0.25,0.47,0.94,0.36,0.75,0.72,0.31,0.73,0.5,0.03,0.25,0.06,0.44,0.72,0.56
20232024,ARI,24.0,28.0,13.0,9.0,2.0,west,central,none,83.0,68.0,other,64.46666666666667,6.0,9.0,-3.0,0.4,9.13,11.74,0.437,0.984,0.098,0.886,0.114,0.902,21.0,27.0,0.438,47.0,64.0,0.423,2.711,2.808,86.0,108.0,0.443,108.0,142.0,0.432,61.0,79.0,26.0,27.0,9.0,37.0,33.0,7.0,19.0,20.0,0.22,0.185,22.0,34.0,25.0,29.0,0.231,0.204,0.204,0.239,7.0,70.0,11.0,68.0,59.0,71.0,18.0,13.0,15.0,7.0,19.0,23.0,16.0,6.0,5.0,7.0,-2.6099999999999994,-22.0,-6.0,15.127,20.744,-5.616999999999999,5.584,8.376,-2.792,8.497,10.927,19.545,25.129,43.744,59.566,80.041,100.517,100.517,132.161,56.774,73.526,24.199,25.129,8.376,34.436,30.714,6.515,17.684,18.614,23.268,26.991,20.476,31.644,6.515,10.238,16.753,12.099,13.961,6.515,17.684,21.406,14.891,5.584,-2.429,-20.476,-5.584,4.654,6.515,14.079,19.307,-5.228,0.59,0.61,0.22,0.28,0.22,0.19,0.69,0.16,0.28,0.09,0.22,0.19,0.09,0.22,0.59,0.41,0.17,0.81,0.17,0.81,0.59,0.69,0.25,0.09,0.16,0.84,0.06,0.12,0.432,0.88,0.06,0.81,0.78,1.0,0.12,0.06,0.16,0.34,0.94,0.56,0.66,0.97,0.06,0.06,0.97,0.19,0.55,0.91,0.03,0.09,0.97,0.06,0.91,0.25,0.97,0.97,0.03,0.98,0.06,0.78,0.22,0.53,0.44,0.03,0.91,0.06,0.88,0.44,0.16,0.19
