game_id,team,player,number,pos,strength,shots_against,goals_against,xGoal,adsc_ag,hdsc_ag,ldsc_ag,mdsc_ag,adsc_g,hdsc_g,ldsc_g,mdsc_g,player_id
2023020001,NSH,Juuse Saros,74,G,5on4,10,2.0,1.1987447,3.0,4.0,,3.0,,2.0,,,8477424.0
2023020001,NSH,Juuse Saros,74,G,5on5,22,1.0,0.86908069,7.0,,5.0,10.0,,,,1.0,8477424.0
2023020001,NSH,Juuse Saros,74,G,all,33,4.0,2.06782539,10.0,4.0,5.0,14.0,,2.0,,2.0,8477424.0
2023020001,NSH,Juuse Saros,74,G,other,1,1.0,0.0,,,,1.0,,,,1.0,8477424.0
2023020001,TBL,Jonas Johansson,31,G,4on5,1,,0.0129032,,,1.0,,,,,,8477992.0
2023020001,TBL,Jonas Johansson,31,G,5on4,7,1.0,0.46994007000000004,3.0,2.0,,2.0,1.0,,,,8477992.0
2023020001,TBL,Jonas Johansson,31,G,5on5,20,2.0,2.83460184,7.0,7.0,2.0,4.0,,2.0,,,8477992.0
2023020001,TBL,Jonas Johansson,31,G,all,33,3.0,3.83456071,12.0,10.0,5.0,6.0,1.0,2.0,,,8477992.0
2023020001,TBL,Jonas Johansson,31,G,other,5,,0.5171156,2.0,1.0,2.0,,,,,,8477992.0
2023020002,CHI,Petr Mrazek,34,G,5on4,4,,0.2737327,1.0,1.0,,2.0,,,,,8475852.0
2023020002,CHI,Petr Mrazek,34,G,5on5,34,2.0,1.77556517,15.0,5.0,4.0,6.0,2.0,,,,8475852.0
2023020002,CHI,Petr Mrazek,34,G,all,38,2.0,2.04929787,16.0,6.0,4.0,8.0,2.0,,,,8475852.0
2023020002,PIT,Tristan Jarry,35,G,4on5,1,,0.0101858,,,,,,,,,8477465.0
2023020002,PIT,Tristan Jarry,35,G,5on4,5,,0.12956836,,4.0,,1.0,,,,,8477465.0
2023020002,PIT,Tristan Jarry,35,G,5on5,29,3.0,1.99739036,12.0,5.0,4.0,7.0,,1.0,,2.0,8477465.0
2023020002,PIT,Tristan Jarry,35,G,all,35,3.0,2.13714452,12.0,9.0,4.0,8.0,,1.0,,2.0,8477465.0
2023020003,SEA,Philipp Grubauer,31,G,5on4,3,,0.4780228,1.0,,,1.0,,,,,8475831.0
2023020003,SEA,Philipp Grubauer,31,G,5on5,24,3.0,1.9831165499999999,4.0,8.0,5.0,7.0,,1.0,,2.0,8475831.0
2023020003,SEA,Philipp Grubauer,31,G,all,27,3.0,2.46113935,5.0,8.0,5.0,8.0,,1.0,,2.0,8475831.0
2023020003,VGK,Adin Hill,33,G,5on4,10,,0.26867708,3.0,2.0,,5.0,,,,,8478499.0
2023020003,VGK,Adin Hill,33,G,5on5,23,1.0,2.4056449399999997,6.0,6.0,3.0,7.0,,1.0,,,8478499.0
2023020003,VGK,Adin Hill,33,G,all,33,1.0,2.67432202,9.0,8.0,3.0,12.0,,1.0,,,8478499.0
2023020004,CAR,Frederik Andersen,31,G,4on5,5,1.0,0.2434767,1.0,1.0,1.0,1.0,,1.0,,,8475883.0
2023020004,CAR,Frederik Andersen,31,G,5on4,6,,0.47362574,2.0,3.0,1.0,,,,,,8475883.0
2023020004,CAR,Frederik Andersen,31,G,5on5,18,2.0,0.87106287,7.0,3.0,2.0,5.0,1.0,1.0,,,8475883.0
2023020004,CAR,Frederik Andersen,31,G,all,30,3.0,1.64781241,10.0,7.0,4.0,7.0,1.0,2.0,,,8475883.0
2023020004,CAR,Frederik Andersen,31,G,other,1,,0.0596471,,,,1.0,,,,,8475883.0
2023020004,OTT,Joonas Korpisalo,70,G,4on5,1,1.0,0.109694,,1.0,,,,1.0,,,8476914.0
2023020004,OTT,Joonas Korpisalo,70,G,5on4,6,1.0,0.7370173,3.0,2.0,,1.0,,1.0,,,8476914.0
2023020004,OTT,Joonas Korpisalo,70,G,5on5,34,3.0,1.69631684,12.0,6.0,10.0,6.0,1.0,1.0,1.0,,8476914.0
2023020004,OTT,Joonas Korpisalo,70,G,all,42,5.0,2.54302814,15.0,9.0,10.0,8.0,1.0,3.0,1.0,,8476914.0
2023020004,OTT,Joonas Korpisalo,70,G,other,1,,0.0,,,,1.0,,,,,8476914.0
2023020005,MTL,Jake Allen,34,G,4on5,2,,0.01987483,,,,,,,,,8474596.0
2023020005,MTL,Jake Allen,34,G,5on4,7,2.0,0.7476269999999999,2.0,1.0,,4.0,2.0,,,,8474596.0
2023020005,MTL,Jake Allen,34,G,5on5,26,1.0,1.30247625,11.0,2.0,3.0,9.0,,,,1.0,8474596.0
2023020005,MTL,Jake Allen,34,G,all,38,3.0,2.4378925799999998,13.0,5.0,3.0,14.0,2.0,,,1.0,8474596.0
2023020005,MTL,Jake Allen,34,G,other,3,,0.36791450000000003,,2.0,,1.0,,,,,8474596.0
2023020005,TOR,Ilya Samsonov,35,G,5on4,3,1.0,0.43108284999999996,3.0,,,,1.0,,,,8478492.0
2023020005,TOR,Ilya Samsonov,35,G,5on5,19,4.0,1.1423187,6.0,2.0,2.0,6.0,2.0,1.0,,1.0,8478492.0
2023020005,TOR,Ilya Samsonov,35,G,all,24,5.0,1.61720418,9.0,2.0,2.0,8.0,3.0,1.0,,1.0,8478492.0
2023020005,TOR,Ilya Samsonov,35,G,other,2,,0.04380263,,,,2.0,,,,,8478492.0
2023020006,BOS,Linus Ullmark,35,G,4on5,3,,0.1473504,,,1.0,1.0,,,,,8476999.0
2023020006,BOS,Linus Ullmark,35,G,5on5,18,1.0,1.1718414,5.0,3.0,3.0,7.0,,1.0,,,8476999.0
2023020006,BOS,Linus Ullmark,35,G,all,21,1.0,1.3191918,5.0,3.0,4.0,8.0,,1.0,,,8476999.0
2023020006,CHI,Arvid Soderblom,40,G,5on4,5,,1.0219451,1.0,3.0,,1.0,,,,,8482821.0
2023020006,CHI,Arvid Soderblom,40,G,5on5,27,2.0,2.12821143,13.0,5.0,2.0,6.0,1.0,,,1.0,8482821.0
2023020006,CHI,Arvid Soderblom,40,G,all,32,2.0,3.15015653,14.0,8.0,2.0,7.0,1.0,,,1.0,8482821.0
2023020007,CGY,Jacob Markstrom,25,G,5on4,16,,0.21740185,2.0,3.0,4.0,7.0,,,,,8474593.0
2023020007,CGY,Jacob Markstrom,25,G,5on5,23,3.0,1.90209531,7.0,10.0,3.0,2.0,1.0,1.0,,1.0,8474593.0
2023020007,CGY,Jacob Markstrom,25,G,all,39,3.0,2.11949716,9.0,13.0,7.0,9.0,1.0,1.0,,1.0,8474593.0
2023020007,WPG,Connor Hellebuyck,37,G,4on5,2,1.0,0.05076584,1.0,,1.0,,1.0,,,,8476945.0
2023020007,WPG,Connor Hellebuyck,37,G,5on4,6,1.0,0.7535847,3.0,1.0,,2.0,,,,1.0,8476945.0
2023020007,WPG,Connor Hellebuyck,37,G,5on5,13,2.0,0.5578273499999999,2.0,2.0,4.0,3.0,,1.0,1.0,,8476945.0
2023020007,WPG,Connor Hellebuyck,37,G,all,21,4.0,1.3621778900000001,6.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,8476945.0
2023020008,LAK,Cam Talbot,39,G,4on5,1,,0.00700118,,,,,,,,,8475660.0
2023020008,LAK,Cam Talbot,39,G,5on4,7,1.0,4.1113362,4.0,3.0,,,1.0,,,,8475660.0
2023020008,LAK,Cam Talbot,39,G,5on5,29,3.0,2.15587546,11.0,3.0,7.0,8.0,1.0,,,2.0,8475660.0
2023020008,LAK,Cam Talbot,39,G,all,37,4.0,6.27421284,15.0,6.0,7.0,8.0,2.0,,,2.0,8475660.0
2023020008,COL,Alexandar Georgiev,40,G,5on4,11,,1.5873051,5.0,3.0,1.0,2.0,,,,,8480382.0
2023020008,COL,Alexandar Georgiev,40,G,5on5,27,3.0,2.08398564,12.0,3.0,3.0,8.0,,,,3.0,8480382.0
2023020008,COL,Alexandar Georgiev,40,G,all,38,3.0,3.67129074,17.0,6.0,4.0,10.0,,,,3.0,8480382.0
2023020009,EDM,Jack Campbell,36,G,5on4,6,1.0,0.6389786,,3.0,,3.0,,,,1.0,8475789.0
2023020009,EDM,Jack Campbell,36,G,5on5,10,3.0,1.26534618,1.0,4.0,2.0,3.0,,2.0,,1.0,8475789.0
2023020009,EDM,Jack Campbell,36,G,all,16,4.0,1.90432478,1.0,7.0,2.0,6.0,,2.0,,2.0,8475789.0
2023020009,VAN,Thatcher Demko,35,G,5on4,6,1.0,0.57807323,4.0,2.0,,,1.0,,,,8477967.0
2023020009,VAN,Thatcher Demko,35,G,5on5,16,,1.2219436099999998,6.0,4.0,1.0,4.0,,,,,8477967.0
2023020009,VAN,Thatcher Demko,35,G,all,22,1.0,1.80001684,10.0,6.0,1.0,4.0,1.0,,,,8477967.0
2023020009,VAN,Casey Desmith,29,G,4on5,1,,0.0172919,,,1.0,,,,,,8479193.0
2023020009,VAN,Casey Desmith,29,G,5on4,1,,0.0056358,,,,1.0,,,,,8479193.0
